開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
5/30/17 9:36:21,YES,YES,YES,YES,
5/30/17 9:36:26,YES,YES,YES,YES,
5/30/17 9:36:37,YES,YES,YES,YES,
5/30/17 9:38:21,YES,YES,YES,YES,
5/30/17 9:37:30,YES,YES,YES,YES,
5/30/17 9:38:08,YES,YES,YES,YES,
5/30/17 9:36:28,YES,YES,YES,YES,
5/30/17 9:39:07,YES,YES,YES,YES,office365とblackbordにログインできないことによりなにもできなかった。
5/30/17 9:40:53,NO,NO,YES,YES,
,,,,,
YES,8,8,9,9,
NO,1,1,0,0,
